experiment_id,problem_id,condition,kernel_pass,inappropriate_assumption,leakage_risk,reviewer_note
pilot-20260826T011418Z-06ffd827,and_swap_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,and_swap_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,and_swap_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_swap_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_swap_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_swap_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,eq_transitive_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,eq_transitive_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,eq_transitive_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,function_congruent_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,function_congruent_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,function_congruent_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_zero_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_zero_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_zero_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_zero_add_eval,A,yes,no,no,复核者确认最终证明在第二轮独立编译通过；定理未修改；无额外假设；A条件无检索示例
pilot-20260826T011418Z-06ffd827,nat_zero_add_eval,B,yes,no,no,复核者确认最终证明在第二轮独立编译通过；定理未修改；无额外假设；B条件无检索示例
pilot-20260826T011418Z-06ffd827,nat_zero_add_eval,C,yes,no,no,复核者确认该证明独立编译通过；定理未修改；无额外假设；C条件检索示例不是同题或等价答案
pilot-20260826T011418Z-06ffd827,nat_succ_ne_zero_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_succ_ne_zero_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_succ_ne_zero_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_le_transitive_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_le_transitive_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_le_transitive_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,bool_cases_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,bool_cases_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,bool_cases_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,identity_application_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,identity_application_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,identity_application_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,and_assoc_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,and_assoc_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,and_assoc_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_assoc_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_assoc_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,or_assoc_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,not_not_intro_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,not_not_intro_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,not_not_intro_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_succ_add_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_succ_add_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_succ_add_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_comm_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_comm_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_add_comm_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_mul_zero_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_mul_zero_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_mul_zero_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_lt_succ_self_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_lt_succ_self_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,nat_lt_succ_self_eval,C,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,implies_self_eval,A,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,implies_self_eval,B,yes,no,no,无问题
pilot-20260826T011418Z-06ffd827,implies_self_eval,C,yes,no,no,无问题
